Chromosome,Base Pairs,Protein Coding genes,Pseudogenes,Total long non coding RNA,Total small nc RNA,miRNA,rRNA
1,248956422,2058,1220,1200,496,134,66
2,242193529,1309,1023,1037,375,115,40
3,198295559,1078,763,711,298,99,29
4,190214555,752,727,657,228,92,24
5,181538259,876,721,844,235,83,25
6,170805979,1048,801,639,234,81,26
7,159345973,989,885,605,208,90,24
8,145138636,677,613,735,214,80,28
9,138394717,786,661,491,190,69,19
10,133797422,733,568,579,204,64,32
11,135086622,1298,821,710,233,63,24
12,133275309,1034,617,848,227,72,27
13,114364328,327,372,397,104,42,16
14,107043718,830,523,533,239,92,10
15,101991189,613,510,639,250,78,13
16,90338345,873,465,799,187,52,32
17,83257441,1197,531,834,235,61,15
18,80373285,270,247,453,109,32,13
19,58617616,1472,512,628,179,110,13
20,64444167,544,249,384,131,57,15
21,46709983,234,185,305,71,16,5
22,50818468,488,324,357,78,31,5
X,156040895,842,874,271,258,128,22
Y,57227415,71,388,71,30,15,7
mtDNA,16569,13,0,0,24,0,2
